title1_4,title2_4,title3_4,title4_4,deviceId,channelId,timestamp,cfd_y1,cfd_y2,heigth,baseline,qLong,qShort,psdValue,eventCounter,eventCounterPSD,decimationFactor,postfix1,postfix2,postfix3,postfix4
171,87,70,65,889192462,0,3661874921728,8,-3,1201,-39,5200,4155,6584,7546,0,0,87,70,80,187
171,87,70,65,889192462,0,3661890811352,15,-1,558,-39,2492,2067,5588,7548,0,0,87,70,80,187
171,87,70,65,889192462,0,3661904815760,15,-1,352,-39,1654,1436,4318,7550,0,0,87,70,80,187
171,87,70,65,889192462,0,3661909069440,6,-1,721,-39,3402,2834,5470,7552,0,0,87,70,80,187
171,87,70,65,889192462,0,3661920409408,10,-4,632,-39,2977,2448,5822,7554,0,0,87,70,80,187
171,87,70,65,889192462,0,3661923842264,8,-6,399,-39,1922,1601,5472,7556,0,0,87,70,80,187
171,87,70,65,889192462,0,3661924605120,2,-2,552,-39,2576,2113,5889,7558,0,0,87,70,80,187
171,87,70,65,889192462,0,3661926349008,13,-3,1156,-39,5294,4344,5879,7560,0,0,87,70,80,187
171,87,70,65,889192462,0,3661929275040,4,-3,621,-39,2871,2390,5489,7562,0,0,87,70,80,187
171,87,70,65,889192462,0,3661941548136,4,-3,2651,-39,11584,8488,8757,7564,0,0,87,70,80,187
171,87,70,65,889192462,0,3661945880752,4,-3,581,-39,2566,2246,4086,7566,0,0,87,70,80,187
171,87,70,65,889192462,0,3661951538704,9,-1,1069,-39,4771,3840,6394,7568,0,0,87,70,80,187
171,87,70,65,889192462,0,3661959823480,19,-4,1491,-39,6482,5054,7218,7570,0,0,87,70,80,187
171,87,70,65,889192462,0,3661963697760,8,-5,1467,-39,6429,4938,7599,7572,0,0,87,70,80,187
171,87,70,65,889192462,0,3661973726688,11,-1,645,-39,2912,2294,6953,7574,0,0,87,70,80,187
171,87,70,65,889192462,0,3661978419488,11,-1,1137,-39,5239,4360,5497,7576,0,0,87,70,80,187
171,87,70,65,889192462,0,3661993436600,13,-1,365,-39,1797,1522,5014,7578,0,0,87,70,80,187
171,87,70,65,889192462,0,3661994761368,13,-1,119,-39,731,637,4213,7580,0,0,87,70,80,187
171,87,70,65,889192462,0,3661998474968,8,-1,1484,-38,6356,5060,6681,7582,0,0,87,70,80,187
171,87,70,65,889192462,0,3661999912936,8,-1,364,-38,1791,1462,6019,7584,0,0,87,70,80,187
171,87,70,65,889192462,0,3662009458560,8,-1,326,-38,1601,1352,5096,7586,0,0,87,70,80,187
171,87,70,65,889192462,0,3662024102400,8,-1,187,-38,990,831,5262,7588,0,0,87,70,80,187
171,87,70,65,889192462,0,3662030888872,8,-1,240,-38,1235,1029,5465,7590,0,0,87,70,80,187
171,87,70,65,889192462,0,3662037546424,6,-1,276,-38,1352,1156,4750,7592,0,0,87,70,80,187
171,87,70,65,889192462,0,3662038874920,8,-3,123,-38,664,608,2763,7594,0,0,87,70,80,187
171,87,70,65,889192462,0,3662066000256,9,-2,418,-38,1872,1651,3868,7596,0,0,87,70,80,187
171,87,70,65,889192462,0,3662072509912,9,-2,469,-38,2233,1791,6485,7598,0,0,87,70,80,187
171,87,70,65,889192462,0,3662078745480,9,-2,463,-38,2181,1792,5844,7600,0,0,87,70,80,187
171,87,70,65,889192462,0,3662083052048,9,-2,285,-38,1396,1212,4318,7602,0,0,87,70,80,187
171,87,70,65,889192462,0,3662090325208,9,-2,405,-38,1997,1598,6546,7604,0,0,87,70,80,187
171,87,70,65,889192462,0,3662097632432,9,-2,228,-38,1144,987,4496,7606,0,0,87,70,80,187
171,87,70,65,889192462,0,3662101981344,13,-12,692,-38,3100,2530,6024,7608,0,0,87,70,80,187
171,87,70,65,889192462,0,3662104723552,11,-24,286,-38,1455,1202,5697,7610,0,0,87,70,80,187
171,87,70,65,889192462,0,3662113669968,11,-24,261,-38,1333,1100,5727,7612,0,0,87,70,80,187
171,87,70,65,889192462,0,3662115297856,1,-2,488,-38,2279,1910,5305,7614,0,0,87,70,80,187
171,87,70,65,889192462,0,3662120874168,1,-2,247,-38,1238,1091,3890,7616,0,0,87,70,80,187
171,87,70,65,889192462,0,3662122937856,1,-2,458,-38,2108,1820,4476,7618,0,0,87,70,80,187
171,87,70,65,889192462,0,3662124244776,1,-2,102,-38,595,533,3414,7620,0,0,87,70,80,187
171,87,70,65,889192462,0,3662126799752,12,-6,640,-38,2751,2274,5681,7622,0,0,87,70,80,187
